truth_family,truth_alpha,truth_xb,truth_xg,truth_sigma_g,retrieval_family,criterion,retr_xg,retr_sigma_g,retr_alpha,retr_xb,E_scalar,E_phase,E_DoLP,E_joint,truth_cext,retr_cext,truth_g,retr_g,cext_rel_pct,g_abs,grid_candidates,retrieval_on_boundary
MPL,3.0,0.2,,,LN,joint,0.01617968284648141,5.950000000000001,,,0.036471786415907564,0.1468759131083461,0.04642419684764541,0.15829697125569694,0.0022750556093699944,0.0021935929324830017,0.9736104939900183,0.9743790466903012,-3.5806894807969614,0.0007685527002828652,9999,False
MPL,3.0,0.2,,,LN,scalar,0.02811706625951745,5.200000000000001,,,0.0015855243592980313,0.13853295415344924,0.08182412985567526,0.16090084369143004,0.0022750556093699944,0.00227160473155369,0.9736104939900183,0.9731526593774696,-0.1516832292842274,0.00045783461254866875,9999,False
MPL,3.3,0.2,,,LN,joint,0.021328975940079625,4.85,,,0.0028717394314066477,0.11490111553810807,0.06818936376491584,0.13364244299595684,0.0005309677715229562,0.0005296546195374224,0.9700409509587243,0.9685865240667061,-0.2473129361067139,0.0014544268920182457,9999,False
MPL,3.3,0.2,,,LN,scalar,0.014091914656322266,5.35,,,0.0020224187687606573,0.16375840076400458,0.04031860912350706,0.16866088532945248,0.0005309677715229562,0.0005319623314892696,0.9700409509587243,0.9708078960639742,0.18731079731275635,0.0007669451052498832,9999,False
MPL,3.6,0.2,,,LN,joint,0.019905358527674864,4.4,,,0.003899057942886506,0.11833961621785397,0.04892119296609426,0.12811225757380432,0.0001307488939729432,0.0001304734661939176,0.9624013532759107,0.9591217532904415,-0.21065400299492554,0.003279599985469228,9999,False
MPL,3.6,0.2,,,LN,scalar,0.019905358527674864,4.4,,,0.003899057942886506,0.11833961621785397,0.04892119296609426,0.12811225757380432,0.0001307488939729432,0.0001304734661939176,0.9624013532759107,0.9591217532904415,-0.21065400299492554,0.003279599985469228,9999,False
MPL,3.9,0.2,,,LN,joint,0.019905358527674864,4.0,,,0.012145851781125675,0.14628493187158428,0.02816963964871472,0.14946682443305462,3.429464182346707e-05,3.392894035380464e-05,0.9476556100006435,0.9419471413880763,-1.0663516229295733,0.00570846861256713,9999,False
MPL,3.9,0.2,,,LN,scalar,0.012273544578425154,4.45,,,0.00449586850753094,0.2962690728433761,0.014803342185934553,0.29667274107505154,3.429464182346707e-05,3.431373292082984e-05,0.9476556100006435,0.9521169007174594,0.05566787214470459,0.004461290716815891,9999,False
MPL,4.2,0.2,,,LN,joint,0.021328975940079625,3.6500000000000004,,,0.05092854837075457,0.1839246506384079,0.013711592527087185,0.19133740335136137,9.689381307612633e-06,1.0190381751176505e-05,0.9208010274683718,0.9135779803132958,5.170613351445397,0.0072230471550759345,9999,False
MPL,4.2,0.2,,,LN,scalar,0.018576761454858617,3.7500000000000004,,,0.002571257200613362,0.2066555683314113,0.012399974470168914,0.20704321928725694,9.689381307612633e-06,9.684678779289125e-06,0.9208010274683718,0.9182760114426392,-0.04853280280974204,0.0025250160257326293,9999,False
LN,,,0.15,1.5,MPL,joint,,,8.0,0.24388657942532155,0.007196237413463865,0.00969181235034037,0.00016307269796900938,0.012072433567842489,5.654882553561791e-08,5.621553977751489e-08,0.024589387274230202,0.02869346692629018,-0.589376976349576,0.004104079652059979,11817,True
LN,,,0.15,1.5,MPL,scalar,,,7.949999999999999,0.24388657942532155,0.006926200938279928,0.011471711879891907,0.0001870080914667594,0.01340176872352888,5.654882553561791e-08,5.6818111911273036e-08,0.024589387274230202,0.029629524875819786,0.47620153576048985,0.005040137601589584,11817,False
LN,,,0.25,1.8,MPL,joint,,,6.6,0.5737941165447136,0.029243543268201746,0.13568573994197505,0.002002908258151776,0.13881576455133274,3.681205933059023e-06,3.734110098337472e-06,0.36284297377288943,0.33731697359699225,1.4371422365519804,0.02552600017589718,11817,False
LN,,,0.25,1.8,MPL,scalar,,,6.6,0.5737941165447136,0.029243543268201746,0.13568573994197505,0.002002908258151776,0.13881576455133274,3.681205933059023e-06,3.734110098337472e-06,0.36284297377288943,0.33731697359699225,1.4371422365519804,0.02552600017589718,11817,False
LN,,,0.4,2.1,MPL,joint,,,4.949999999999999,0.9055778497689979,0.02054431536352367,0.2348561399965663,0.005806342563614445,0.23582448770602407,0.0002244354000831161,0.00022458075544109994,0.7994252804356675,0.8199593914719172,0.06476489801965357,0.02053411103624969,11817,False
LN,,,0.4,2.1,MPL,scalar,,,4.949999999999999,0.9055778497689979,0.02054431536352367,0.2348561399965663,0.005806342563614445,0.23582448770602407,0.0002244354000831161,0.00022458075544109994,0.7994252804356675,0.8199593914719172,0.06476489801965357,0.02053411103624969,11817,False
LN,,,0.65,2.4,MPL,joint,,,3.95,1.3499705025062343,0.025864131514519346,0.17056035596809377,0.038195077761884605,0.17668800834295356,0.007474483552733695,0.007659941065772699,0.9426836619538802,0.9509449769797444,2.481208390259626,0.008261315025864246,11817,False
LN,,,0.65,2.4,MPL,scalar,,,4.2,1.601909277800158,0.014978689507928028,0.24424437349216782,0.019174479802973064,0.24545332712691248,0.007474483552733695,0.007365523972720803,0.9426836619538802,0.9397312506823197,-1.4577539604464285,0.00295241127156054,11817,False
LN,,,1.0,2.7,MPL,joint,,,3.4000000000000004,2.13056103166911,0.04024884924006629,0.2085426991100949,0.08726089347458425,0.22961814115451745,0.09251016869578282,0.09630755142164034,0.9718574203201958,0.9705670995580501,4.104827371296982,0.0012903207621457469,11817,False
LN,,,1.0,2.7,MPL,scalar,,,3.0,1.2751258982610179,0.0020180428723280356,0.243122409691451,0.1632082365211179,0.292830167604954,0.09251016869578282,0.09246035023451003,0.9718574203201958,0.9738022437907184,-0.05385187593444085,0.0019448234705226053,11817,False
